inv_id,inv_nama, inv_awal 
0000001,MCB 10 AMPERE 1PHASE, 27.00 
0000002,KOTAK + TOMBOL ,
0000003,PUSH BOTTON,
0000004,RELAY LY 2/220V, 4.00 
0000005,SPIRAL,
0000006,RELAY LY 2/12V, 10.00 
0000007,KABEL TREY 20 X 5,
0000008,KABEL TREE 30 X 5,
0000009,JOINT TREY,
0000010,KABEL TREY 20 X 10,
0000011,ELBOW TREY 20 X 10,
0000012,OUTSIDE RISER TREY 20 X 10,
0000013,INSIDE RISER TREY 20 X 10,
0000014,JOINT TREY 20 X 10,
0000015,AMPLAS GERINDA, 17.00 
0000016,AMPLAS KAIN, 6.00 
0000017,AMPLAS KASAR,
0000018,BAUT & MUR 1/2 x 2," 1,588.00 "
0000019,BAUT & MUR 5/8 x 2 1/2, 731.00 
0000020,MUR & BAUT FLANK 3,
0000021,BAUT JF 4X15,
0000022,BAUT & MUR 5/8 SETENGAH DRAT, 20.00 
0000023,BESI SIKU 4X4, 397.00 
0000024,BESI UNP, 268.00 
0000025,BALL VALVE COMAP 1/4,
0000026,BALL VALVE COMAP 1/2, 93.00 
0000027,BALL VALVE COMAP 3/4, 133.00 
0000028,BALL VALVE COMAP 1,
0000029,BALL VALVE COMAP 1 1/4, 22.00 
0000030,BALL VALVE COMAP 1 1/2, 12.00 
0000031,BALL VALVE COMAP 2, 11.00 
0000032,BALL VALVE COMAP 2 1/2,
0000033,BALL VALVE MIC AUTOMATIC SAFETY 1/4, 178.00 
0000034,BALL VALVE MIC 1/4 TWO WAY, 208.00 
0000035,BALL VALVE MIC 1/2, 251.00 
0000036,BALL VALVE MIC 3/4, 151.00 
0000037,BALL VALVE MIC 1, 253.00 
0000038,BALL VALVE MIC 1 1/4, 121.00 
0000039,BALL VALVE MIC 1 1/2, 136.00 
0000040,BALL VALVE MIC 2, 54.00 
0000041,BALL VALVE MIC 2 1/2, 17.00 
0000042,BALL VALVE RUB 1/4, 160.00 
0000043,BALL VALVE RUB 1/2, 52.00 
0000044,BALL VALVE RUB 3/4, 64.00 
0000045,BALL VALVE RUB 1, 133.00 
0000046,BALL VALVE RUB 1 1/4, 70.00 
0000047,BALL VALVE RUB 1 1/2, 94.00 
0000048,BALL VALVE RUB 2, 54.00 
0000049,BALL VALVE RUB 2 1/2, 19.00 
0000050,CAT BIRU 1LTR,
0000051,CAT KUNING EMCO 1LTR, 16.00 
0000052,CAT MERAH 1LTR, 3.00 
0000053,CAT ZINCROMATE 1LTR, 21.00 
0000054,CAT ZINCROMATE 5LTR, 5.00 
0000055,CAT EPOXY ACLOSE GREY ,
0000056,CAT PUTIH EMCO, 14.00 
0000057,CAT HITAM, 1.00 
0000058,CAT ZINCROMATE ,
0000059,CAT KUNING TIPE SERV 567,
0000060,CAT DOP HITAM,
0000061,CAT DOP SILVER,
0000062,CAT PILOK,
0000063,CAT BEEBRAND 116,
0000064,CAT ORANGE, 9.00 
0000065,DOP BS 1/4,
0000066,DOP BS 1/2, 8.00 
0000067,DOP BS 3/4,
0000068,DOP BS 1, 57.00 
0000069,DOP BS 1 1/4, 47.00 
0000070,DOP BS 1 1/2, 24.00 
0000071,DOP BS 2, 9.00 
0000072,DOP BS 2 1/2,
0000073,DOUBLE NEPLE BS 1/4,
0000074,DOUBLE NEPLE BS 1/2, 62.00 
0000075,DOUBLE NEPLE BS 1/2 X 1/4,
0000076,DOUBLE NEPLE BS 3/4,
0000077,DOUBLE NEPLE BS 1, 26.00 
0000078,DOUBLE NEPLE BS 1 X 1/2,
0000079,DOUBLE NEPLE BS 1 1/4, 57.00 
0000080,DOUBLE NEPLE BS 1 1/2, 11.00 
0000081,DOUBLE NEPLE BS 2, 26.00 
0000082,DOUBLE NEPLE KUNINGAN 1/2 X 1/4, 44.00 
0000083,"DOUBLE NEEPLE RIFENG UK.1""",
0000084,DOUBLE NEPLE SS 1/4, 155.00 
0000085,DOUBLE NEPLE SS 1/2, 112.00 
0000086,DOUBLE NEPLE SS 1/2 X 1/4, 132.00 
0000087,DOUBLE NEPLE SS 3/4, 282.00 
0000088,DOUBLE NEPLE SS 3/8, 234.00 
0000089,DOUBLE NEPLE SS 1, 237.00 
0000090,DOUBLE NEPLE SS 1 X 1/4, 54.00 
0000091,DOUBLE NEPLE SS 1 X 1/2, 182.00 
0000092,DOUBLE NEPLE SS 1 X 3/4, 212.00 
0000093,DOUBLE NEPLE SS 1 1/4, 82.00 
0000094,DOUBLE NEPLE SS 1 1/2, 83.00 
0000095,DOUBLE NEPLE SS 2, 44.00 
0000096,DOUBLE NEPLE SS 2 1/2, 45.00 
0000097,DOUBLE NEPLE SS 1 1/2 X 1/2, 50.00 
0000098,DOP SS 1/2, 82.00 
0000099,DOP SS 3/4, 102.00 
0000100,DOP SS 1, 105.00 
0000101,DOP SS 1 1/4, 52.00 
0000102,DOP SS 1 1/2, 52.00 
0000103,DOP SS 2, 38.00 
0000104,DOP SS 2 1/2, 40.00 
0000105,DOP VALVE TABUNG,
0000106,DYNABOLT 10 X 50MM," 1,323.00 "
0000107,DYNABOLT STAINLES 8 X40MM,
0000108,DYNABOLT 12MM, 100.00 
0000109,ELBOW RIFENG L16, 19.00 
0000110,ELBOW RIFENG L20, 11.00 
0000111,ELBOW RIFENG 1,
0000112,Elbow BS 1/2, 98.00 
0000113,Elbow BS  3/4, 44.00 
0000114,Elbow BS 1    , 32.00 
0000115,Elbow BS 1 1/4, 49.00 
0000116,Elbow BS 1 1/2, 34.00 
0000117,Elbow BS 2    , 28.00 
0000118,Elbow BS 2 1/2, 1.00 
0000119,ELBOW LAS SCH.40 1/2, 140.00 
0000120,ELBOW LAS SCH.40  3/4, 157.00 
0000121,ELBOW LAS SCH.40  1, 109.00 
0000122,ELBOW LAS SCH.40  1 1/4, 110.00 
0000123,ELBOW LAS SCH.40  1 1/2, 310.00 
0000124,ELBOW LAS SCH.40  2, 53.00 
0000125,ELBOW LAS SCH.40  2 1/2, 25.00 
0000126,ELBOW LAS SCH.40  3, 34.00 
0000127,ELBOW LAS SCH.20 2 1/2, 17.00 
0000128,ELBOW LAS SCH.20 1/2, 124.00 
0000129,ELBOW LAS SCH.20 3/4, 98.00 
0000130,ELBOW LAS SCH.20 1,
0000131,ELBOW LAS SCH.20 1 1/4, 4.00 
0000132,ELBOW LAS SCH.20 1 1/2, 32.00 
0000133,ELBOW LAS SCH.20 2    , 3.00 
0000134,ELBOW TEMBAGA 1 1/2,
0000135,FLANK BUKA 1/2, 57.00 
0000136,FLANK BUKA 3/4, 70.00 
0000137,FLANK BUKA 1, 71.00 
0000138,FLANK BUKA 1 1/4, 25.00 
0000139,FLANK BUKA 1 1/2, 49.00 
0000140,FLANK BUKA 2, 17.00 
